iter	RMSE
0	23.02991145
1	22.62731237
2	22.21970607
3	21.91957711
4	21.60109148
5	21.29171596
6	20.98349352
7	20.72699125
8	20.47019272
9	20.2590446
10	19.90145108
11	19.59597794
12	19.34929791
13	19.08958664
14	18.77983521
15	18.52590943
16	18.256606
17	18.01906436
18	17.77227495
19	17.52874285
20	17.27556457
21	17.03345259
22	16.78510494
23	16.51908175
24	16.26856266
25	16.03978941
26	15.83273849
27	15.59683007
28	15.37544601
29	15.11686837
30	14.98639044
31	14.81205168
32	14.61800411
33	14.44160057
34	14.25331073
35	14.02838307
36	13.84264995
37	13.63965743
38	13.44164208
39	13.28127751
40	13.08425078
41	12.94354854
42	12.78696598
43	12.63630792
44	12.46882106
45	12.33796426
46	12.16761057
47	11.99466847
48	11.87043164
49	11.71322017
50	11.5825083
51	11.43340181
52	11.30763952
53	11.19079123
54	11.06081353
55	10.93777594
56	10.81804676
57	10.70080048
58	10.56051159
59	10.43077479
60	10.33176368
61	10.22027601
62	10.10346525
63	10.00141628
64	9.883918858
65	9.789471978
66	9.682879919
67	9.565326281
68	9.46135872
69	9.355292179
70	9.270094708
71	9.168721296
72	9.056685201
73	8.964075718
74	8.865733261
75	8.768336985
76	8.67968648
77	8.603626188
78	8.524920446
79	8.453719104
80	8.38349465
81	8.30655299
82	8.229019038
83	8.14800564
84	8.08448081
85	8.003933633
86	7.946726807
87	7.876295368
88	7.803804513
89	7.747668479
90	7.679749413
91	7.619142473
92	7.553371203
93	7.494476994
94	7.434156111
95	7.376486618
96	7.323263027
97	7.270522367
98	7.206909731
99	7.146340774
100	7.081577874
101	7.028107809
102	6.974655803
103	6.917713423
104	6.86642043
105	6.812096006
106	6.764585813
107	6.718168404
108	6.673848616
109	6.62518329
110	6.570765327
111	6.521974784
112	6.476594753
113	6.427837051
114	6.382373753
115	6.337219295
116	6.291990339
117	6.248284594
118	6.199709639
119	6.158116394
120	6.11787843
121	6.081994597
122	6.027268521
123	5.986625042
124	5.959123557
125	5.915671785
126	5.880659802
127	5.843610179
128	5.805106475
129	5.760779635
130	5.730152456
131	5.695540552
132	5.659737125
133	5.623974355
134	5.589651139
135	5.55700798
136	5.52332586
137	5.490327175
138	5.457164834
139	5.424355133
140	5.393486236
141	5.363861841
142	5.338634421
143	5.306330094
144	5.267631387
145	5.245035591
146	5.216097083
147	5.185722961
148	5.157251399
149	5.129682185
150	5.092982392
151	5.06625619
152	5.035996486
153	5.004705101
154	4.974033755
155	4.945659431
156	4.919560595
157	4.897642914
158	4.86770271
159	4.838031014
160	4.81391598
161	4.789076373
162	4.767382351
163	4.734717747
164	4.710985959
165	4.67939926
166	4.653721933
167	4.620400317
168	4.600381013
169	4.568078406
170	4.54405735
171	4.52431165
172	4.505808303
173	4.482495162
174	4.457063266
175	4.441655266
176	4.41530155
177	4.397024241
178	4.378283317
179	4.359461378
180	4.332093017
181	4.313657684
182	4.296105746
183	4.269984447
184	4.25478412
185	4.229995059
186	4.211452489
187	4.188473219
188	4.164725881
189	4.14848904
190	4.121938986
191	4.096874628
192	4.073162831
193	4.046526944
194	4.020790212
195	4.002794798
196	3.979134445
197	3.954686709
198	3.936864973
199	3.919085926
200	3.893954614
201	3.874988159
202	3.853926611
203	3.834606156
204	3.821147517
205	3.799852334
206	3.780387512
207	3.759667926
208	3.738989411
209	3.718333399
210	3.696117289
211	3.684909696
212	3.664051428
213	3.647654384
214	3.628722534
215	3.611313307
216	3.590614047
217	3.571025231
218	3.554211427
219	3.537655242
220	3.518795361
221	3.505268293
222	3.489793503
223	3.475999748
224	3.458125178
225	3.438822352
226	3.42190941
227	3.40892667
228	3.390650499
229	3.374788163
230	3.356657064
231	3.340003009
232	3.327504372
233	3.311533041
234	3.294175658
235	3.277888896
236	3.261078535
237	3.249672496
238	3.233850821
239	3.220970097
240	3.207976014
241	3.191716554
242	3.177127512
243	3.162575876
244	3.1480032
245	3.134140816
246	3.123338943
247	3.108076133
248	3.095666454
249	3.08125173
250	3.067085261
251	3.056971298
252	3.047037118
253	3.034281491
254	3.022833868
255	3.013298955
256	3.003874529
257	2.993052409
258	2.979671769
259	2.970526892
260	2.955197844
261	2.946281744
262	2.936656164
263	2.923932712
264	2.909245664
265	2.900191153
266	2.885877919
267	2.873732304
268	2.86279956
269	2.851871665
270	2.844097217
271	2.8324301
272	2.824847972
273	2.81151139
274	2.80091185
275	2.789761897
276	2.780695796
277	2.768654302
278	2.757963886
279	2.749862668
280	2.739856546
281	2.730670205
282	2.718684757
283	2.711349831
284	2.699692561
285	2.689812597
286	2.682699949
287	2.673034321
288	2.661936981
289	2.651092252
290	2.641829891
